spot_number,6am,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,unique_zone,number_of_times_occupied,number_of_unique_cars,spot_type
203,true,true,true,true,true,false,false,false,false,false,true,true,true,true,true,13Right,10,2,Resident Only
204,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
205,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
206,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,13Right,11,3,Resident Only
207,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
208,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
209,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
210,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,13Right,13,2,Resident Only
211,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,13Right,13,3,Resident Only
212,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
213,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
214,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
215,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,13Right,3,1,Resident Only
216,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,13Right,13,3,Resident Only
217,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,13Right,14,2,Resident Only
218,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,13Right,12,1,Resident Only
219,true,true,false,false,false,false,false,false,false,true,true,true,true,true,true,13Right,8,3,Resident Only
220,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
221,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
222,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,13Right,10,2,Resident Only
223,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
224,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
225,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
226,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
227,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
228,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
229,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,13Right,14,2,Resident Only
230,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Resident Only
231,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,14,2,Visitor
232,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,13Right,12,3,Visitor
233,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,13Right,14,4,Visitor
234,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,13Right,13,4,Visitor
235,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13Right,15,1,Visitor
236,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14Right,15,1,Resident Only
237,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,14Right,13,5,Resident Only
238,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,14Right,12,3,Resident Only
239,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14Right,15,1,Resident Only
240,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,14Right,12,2,Resident Only
241,true,false,true,false,false,false,false,false,false,true,true,true,true,true,true,14Right,8,3,Resident Only
242,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14Right,0,0,Resident Only
243,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,14Right,15,1,Resident Only
244,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14Right,0,0,Resident Only
245,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Left,1,1,Resident Only
246,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Left,1,1,Resident Only
247,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Left,1,1,Resident Only
248,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,2Left,2,1,Resident Only
249,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,2Left,3,2,Resident Only
250,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,2Left,3,1,Resident Only
251,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,2Left,2,1,Resident Only
252,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Left,1,1,Resident Only
253,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,2Left,3,1,Resident Only
254,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Left,0,0,Resident Only
255,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Left,0,0,Resident Only
256,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Left,0,0,Resident Only
257,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Left,0,0,Resident Only
258,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2Left,0,0,Resident Only
259,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,2Left,4,2,Resident Only
260,true,true,false,false,false,false,false,false,false,false,false,false,true,true,true,2Left,5,2,Resident Only
261,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,2Left,4,2,Resident Only
262,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Left,15,1,Resident Only
263,true,true,true,false,false,false,false,false,false,true,true,true,true,true,true,9Left,9,3,Resident Only
264,false,false,false,true,true,true,false,false,false,false,true,true,true,true,true,9Left,8,2,Resident Only
265,true,true,true,true,true,false,true,false,false,false,false,false,false,true,true,9Left,8,4,Resident Only
266,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Left,15,1,Resident Only
267,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Left,15,1,Resident Only
268,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Left,15,1,Resident Only
269,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Left,15,1,Resident Only
270,true,true,false,false,false,false,true,true,true,false,false,true,true,true,true,9Left,9,4,Resident Only
271,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Left,15,2,Resident Only
272,true,false,false,false,false,true,true,true,true,false,true,true,true,true,true,9Left,10,3,Resident Only
273,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,9Left,1,1,Resident Only
274,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,9Left,12,3,Resident Only
275,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Left,15,1,Resident Only
276,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,9Left,6,2,Resident Only
277,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,9Left,4,2,Resident Only
